#   lon        lat
  163.664    -49.131
 -167.668    -54.356
 -171.966    -53.730
 -172.268    -49.791
  155.494    -45.576
 -127.844    -58.409
  150.640    -49.484
  158.911    -51.377
  151.234    -45.403
 -135.382    -56.206
  175.152    -59.911
  162.594    -16.166
  -78.976    -59.253
  -91.388    -62.405
 -118.883    -50.360
 -178.662    -49.723
  -88.841    -52.520
  -84.707    -61.927
 -109.096    -57.978
 -169.833    -49.591
  137.594     42.309
  132.026     41.430
  137.761     44.890
  138.117     37.761
  137.000     40.226
  138.144     39.098
  136.141     16.691
  133.843     26.712
  143.680     38.787
  152.616     32.750
  145.038     31.462
  150.417     28.370
  166.618     31.834
  159.191     30.997
  157.435     27.120
  163.976     39.033
  136.539     30.657
  159.684     37.987
  141.062     30.680
  177.241     40.690
  158.663     28.707
 -179.310     40.218
  170.164     30.592
  175.830     21.961
  174.551     19.160
  171.592     25.444
  164.138     27.310
  173.398     29.562
  175.591     33.619
  173.545     26.412
  134.617     27.800
  156.384     38.366
  150.811     35.390
  162.247     30.586
  138.896     30.382
  140.767     28.540
  156.726     18.249
  149.204     22.678
  135.308     25.159
  173.067     35.600
  176.551     45.136
  130.419     17.268
  128.687     25.894
  128.385     11.634
  131.614     14.794
  137.082      9.542
  128.188      6.940
  130.481      9.537
  129.354     18.727
  166.361     33.097
  154.025     32.556
  162.216     41.999
  165.092     36.184
 -146.214     12.902
 -153.903    -11.426
 -108.325      6.996
 -136.560     15.449
 -103.360      9.611
 -167.807     -6.744
 -145.441    -10.815
  -81.902      4.852
 -135.312    -14.409
  169.400     -4.951
 -143.884     12.320
 -120.346     -8.667
  169.600     -4.503
 -128.681     -7.834
  -85.663    -38.176
  -99.261    -40.728
  -81.837    -41.341
 -115.828    -27.005
 -133.992     15.040
  -94.049      8.444
 -128.880    -25.585
 -133.475    -10.437
 -108.961      8.396
 -124.270      1.074
  -90.078     -0.453
 -150.381     -4.544
  -92.082      2.164
  -81.205      6.475
  -79.833      3.520
 -101.231      8.014
  -90.707    -22.604
  -98.386    -23.259
  -96.928    -27.265
  -96.976    -27.755
  -80.717    -29.338
  -85.148    -32.400
  -98.604      9.812
 -102.678     12.229
 -110.647    -38.513
 -114.763    -30.814
  -97.598    -44.663
  -88.023    -44.329
  -89.813    -39.369
  -79.547    -26.595
  -77.454    -44.249
  -78.423    -31.922
  -75.523    -32.729
 -120.408    -37.626
  -99.271    -26.381
  -98.033    -29.072
  -97.053    -28.113
 -110.596    -29.623
  -97.739    -32.845
 -114.137    -29.815
 -123.950    -27.510
 -128.710    -29.446
  -84.117     -4.960
  -78.357    -12.932
  -91.153     -9.572
  146.124    -52.255
  -94.022    -15.695
 -113.339      1.000
  -85.277    -17.615
  -73.694    -25.960
  -82.379      1.620
  -84.637     -6.079
  -89.930     -1.827
 -101.797      6.624
  -87.900    -38.200
 -112.084    -42.156
  -99.189    -39.229
 -152.870    -49.656
  -76.420    -31.826
 -104.278    -28.855
 -123.557    -23.057
 -126.185    -24.605
 -125.612    -37.742
 -101.750    -29.757
 -124.245    -26.362
 -126.714    -24.129
 -114.494     -0.157
  -97.956     -3.407
 -101.152     -2.507
  -91.702      2.437
 -100.754      0.717
 -102.108      1.139
 -100.882      0.823
  -97.693      7.415
 -124.192      6.189
 -123.051      0.852
 -111.170      1.048
 -110.056     -0.476
 -103.601      0.180
 -101.652      1.717
  -90.283      0.988
 -104.236     -2.757
 -102.820      1.247
  -95.066    -10.726
 -111.073      2.074
 -117.009     -1.833
  -98.813      1.666
 -104.169      2.083
  -88.335      0.972
  -97.042      1.489
 -108.558     -6.783
  -81.871    -10.161
 -112.334     -0.926
  -93.214    -10.659
  -88.518     -7.960
  -80.239    -14.513
  -98.917     -5.291
  -84.579     -8.250
  -90.314     -7.826
 -107.301     -6.956
 -105.986     -3.875
 -103.094     -7.194
 -107.634     -7.549
  -96.852     -6.352
  -93.637     -5.705
  -96.025     -6.948
 -111.844     -8.619
 -108.398     -2.332
 -117.509    -28.557
 -117.229    -21.052
  -83.648    -20.056
  -82.068    -23.512
 -104.253      2.087
 -112.233      2.907
  -99.528     -5.776
 -101.200     -5.783
 -118.864     -6.739
 -115.601     -5.988
 -113.647     -7.859
  -87.558    -51.193
  -94.305    -51.144
  -90.853    -48.768
  -83.736    -44.969
  -84.111    -47.444
  -82.352     -5.452
  -87.610     -2.592
  -90.559     -2.836
 -105.666    -47.542
 -107.402     -7.026
 -107.703     -9.499
 -107.569    -12.115
 -108.247    -14.414
 -108.472    -16.892
 -108.601    -19.444
 -108.662    -22.069
 -102.917      4.175
  -72.649    -30.210
  -73.328    -20.317
  -73.301    -20.305
  -88.324     -1.101
  -85.802      0.882
  -84.399     -1.811
  -84.858     -3.637
  -75.458    -39.095
  -74.905    -37.897
  -70.678    -22.268
  -70.646    -20.433
  -71.392    -19.728
 -103.347    -19.792
 -103.028    -22.566
 -101.479    -27.494
 -103.011    -32.009
 -102.972    -33.504
 -103.038    -42.988
 -102.957    -46.505
 -102.938    -52.951
 -102.923    -49.978
 -103.030    -48.481
 -109.676     14.239
 -110.546     13.518
  148.950    -49.772
  148.467    -57.902
  148.423    -55.962
  149.337    -54.185
 -140.174     11.854
 -102.626      6.482
 -175.408     54.943
 -138.918     36.760
 -145.144     20.039
  166.654     29.271
 -151.790     38.860
 -127.845     28.808
 -134.561     35.151
 -138.988     33.383
 -124.705     33.987
 -154.149     33.377
 -122.337     25.535
 -119.876     13.955
 -108.195     10.431
 -114.505     14.265
 -108.221     15.884
  148.209     41.403
 -122.100     32.395
 -128.217     18.913
  160.447     50.318
  171.675     56.990
 -130.639     24.573
 -126.001     25.476
 -122.337     24.219
 -146.059     47.578
 -148.471     42.920
 -137.221     47.850
 -126.563     11.178
  -94.242     11.083
 -166.055     13.328
 -148.715     48.084
 -136.627     50.801
 -140.192     52.492
 -143.395     46.139
 -132.275     43.281
 -143.453     49.503
  177.921     53.310
  145.781     54.081
 -136.640     17.595
 -137.508     20.428
 -138.723     45.194
 -127.994     40.477
  174.954     52.770
 -140.944     44.307
 -151.624     43.191
 -168.684     46.579
 -160.789     37.990
 -160.160     49.393
 -134.719     41.441
 -151.146     41.039
 -158.570     52.869
 -160.195     48.765
  169.395     47.228
  178.471     48.891
 -155.290     36.476
 -166.966     31.659
 -168.507     28.614
 -171.759     32.150
 -165.754     31.987
 -153.740     43.699
 -150.046     42.444
 -153.831     36.884
 -127.102     20.220
 -169.959     33.998
 -143.434     50.801
 -148.751     54.327
 -154.428     14.155
 -125.566     30.035
 -129.893     15.522
 -127.712     14.772
 -128.021     18.868
 -139.430     19.348
  179.277     21.778
 -105.453     12.135
 -103.658     13.884
 -151.240     37.409
 -104.875      2.606
 -110.910      4.882
  -93.714     10.161
  -98.000      7.174
  -98.067      9.741
 -110.037     12.654
 -106.168     15.256
 -130.253     40.386
 -126.703     46.675
  161.345     26.585
 -146.734     32.680
 -154.088     29.091
 -159.264     29.458
 -162.186     34.010
 -164.238     35.302
 -139.645     29.006
 -130.695     23.263
 -114.182      3.565
 -118.380     19.835
 -132.799     22.328
 -129.312     20.321
 -142.463     33.126
 -135.906     42.751
 -125.658     42.440
 -157.878     51.109
  165.023     48.827
  160.638     49.467
 -161.989     48.967
 -127.686     47.733
 -150.533     -2.637
 -128.936      0.331
 -141.367      4.943
 -156.689     53.582
  170.754     50.227
 -162.632     52.470
 -173.958     55.520
 -119.548     29.876
 -116.271     24.670
 -117.538     23.223
 -108.974     23.827
 -108.659     20.872
 -105.487     16.457
 -124.509     32.029
 -123.463     32.328
  139.873      7.474
 -177.846      1.692
  133.351      2.961
 -172.010     -0.472
  169.138     33.912
 -153.377     28.574
 -170.722     40.655
 -128.850     30.841
 -135.019     36.606
 -148.366     33.773
 -151.411     29.184
  174.795     38.845
 -158.353     41.780
 -142.784     55.757
 -142.435     54.501
 -142.475     54.414
 -132.921     51.646
 -135.044     53.282
 -157.107     53.849
 -177.741     48.864
  164.124     51.165
 -135.236     53.644
 -133.071     50.254
 -145.015     48.038
 -136.999     47.161
 -132.432     44.359
 -140.923     50.149
  160.724    -47.058
 -141.176     47.596
 -153.963     50.118
 -133.369     51.749
 -135.982     51.350
 -133.324     50.246
 -139.469     48.067
 -152.869     44.118
 -179.231     34.812
 -178.258     31.570
  177.866     30.041
  178.565     58.886
  173.123     60.378
 -153.301      6.227
 -164.437     15.394
 -149.644     17.909
 -153.333     31.900
 -147.742     49.078
 -165.433     49.970
 -158.430     52.684
 -147.276     55.139
  175.222     59.160
  176.326     58.731
 -132.188     35.157
 -107.826     -4.186
 -131.884      6.652
  -96.943      4.111
  -91.326      5.150
  164.822     49.057
 -174.024     49.231
 -169.351     49.348
 -137.979     57.806
 -170.532     54.256
 -174.292     56.629
 -125.535     40.744
 -125.024     41.682
 -104.802     14.495
 -104.998     12.997
 -105.207     10.998
 -105.409      8.981
 -105.606      7.005
 -122.998     32.368
 -179.838     30.529
 -166.446     29.666
 -164.889     41.424
 -161.293     31.290
 -164.623     39.066
 -164.227     37.674
 -165.667     43.377
